id,camaraPk,cargos,codinomes,curriculo,foto,legislaturas,nome,profissoes,senadoId,uf
1,66828,,Fausto Pinato,,,55,Fausto Ruy Pinato,Advogado(a),,
2,67312,,Júlia Marinho,Votou contra a cassação de Eduardo Cunha,,55,Julia Maria Godinho da Cruz Marinho,,,
3,69871,,Bacelar,,,55,Joao Carlos Bacelar Batista,Administrador,,
4,72442,,,"Arquivo 7, p. 4",,,Felipe Augusto Lyra Carreras,,,
5,72912,,Celso Pansera,,,55,Celso Pansera,,,
6,73714,,José Reinaldo,,,55,José Reinaldo Carneiro Tavares,"Administrador Público,engenheiro",,
7,73720,,,"Arquivo 7, p. 4",,,César Antônio de Souza,,,
8,73831,,Tampinha,,,55,José Augusto da Silva Curvo,,,
9,92346,,Eduardo Bolsonaro,,,55,Eduardo Nantes Bolsonaro,Policial Federal,,
10,92699,,Fernando Monteiro,,,55,Fernando Monteiro de Albuquerque,,,
11,93083,,Cacá Leão,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Carlos Felipe Vazquez de Souza Leão,Administrador,,
12,93472,,Cristiane Brasil,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Cristiane Brasil Francisco,Advogada,,
13,96734,,Adão Pretto,,http://www.camara.gov.br/internet/deputado/bandep/73886.jpg,52.53,Adão Pretto,Agricultor,,
14,96746,,Adauto Pereira,,http://www.camara.gov.br/internet/deputado/bandep/74328.jpg,52,Adauto Pereira de Lima,Agropecuarista e Industrial,,
15,96752,,Adelson Ribeiro,,http://www.camara.gov.br/internet/deputado/bandep/74524.jpg,,Adelson Rosendo Lima Ribeiro,Advogado,,
16,96758,,Ademir Lucas,,http://www.camara.gov.br/internet/deputado/bandep/74645.jpg,,Ademir Lucas Gomes,Advogado,,
17,96766,,Aécio Neves,,http://www.camara.gov.br/internet/deputado/bandep/74646.jpg,,Aécio Neves da Cunha,Economista,,MG
18,96771,,Affonso Camargo,,http://www.camara.gov.br/internet/deputado/bandep/73765.jpg,52.53,Affonso Alves de Camargo Neto,Engenheiro Civil,,
19,96777,,Agnelo Queiroz,,http://www.camara.gov.br/internet/deputado/bandep/73654.jpg,52,Agnelo Santos Queiroz Filho,Médico,,
20,96783,,Airton Dipp,,http://www.camara.gov.br/internet/deputado/bandep/73888.jpg,,Airton Langaro Dipp,Engenheiro Civil,,
21,96789,,Albérico Cordeiro,,http://www.camara.gov.br/internet/deputado/bandep/74440.jpg,,Albérico Cordeiro da Silva,Jornalista,,
