nomeEurl	texto
adair-meira	Escândalos de corrupção
ademir-adur	Escândalos de corrupção
agaciel-maia	Escândalos de corrupção
agnelo-queiroz	Escândalos de corrupção
agostinho-valente	Escândalos de corrupção
alcyr-collaco	Escândalos de corrupção
alfredo-mario-savelli	Escândalos de corrupção
alfredo-nascimento	Escândalos de corrupção
ali-mazloum	Escândalos de corrupção
aloizio-mercadante	Escândalos de corrupção
altemir-gregolin-	Escândalos de corrupção
alvaro-lins	Escândalos de corrupção
amauri-ribeiro-jr	Escândalos de corrupção
amazonino-mendes	Escândalos de corrupção
anderson-adauto	Escândalos de corrupção
andre-lara-resende	Escândalos de corrupção
andressa-mendonca	Escândalos de corrupção
angelo-calmon-de-sa	Escândalos de corrupção
anibal-teixeira	Escândalos de corrupção
anita-leocadia	Escândalos de corrupção
antero-paes-de-barros	Escândalos de corrupção
anthony-garotinho	Escândalos de corrupção
antonio-augusto-cesar	Escândalos de corrupção
antonio-carlos-magalhaes	Escândalos de corrupção
antonio-lamas	Escândalos de corrupção
antonio-oliboni	Escândalos de corrupção
antonio-osorio-batista	Escândalos de corrupção
antonio-palocci	Escândalos de corrupção
antonio-wady-debes	Escândalos de corrupção
ayanna-tenorio	Escândalos de corrupção
aylton-gomes	Escândalos de corrupção
benedito-de-oliveira-neto	Escândalos de corrupção
benedito-domingos	Escândalos de corrupção
benicio-tavares	Escândalos de corrupção
benjamin-maranhao	Escândalos de corrupção
benjamin-steinbruch	Escândalos de corrupção
berinaldo-pontes	Escândalos de corrupção
breno-fischberg	Escândalos de corrupção
cabo-julio	Escândalos de corrupção
caio-fabio-daraujo	Escândalos de corrupção
calim-eid	Escândalos de corrupção
carlinhos-cachoeira	Escândalos de corrupção
carlos-bispo-rodrigues	Escândalos de corrupção
carlos-abicalil	Escândalos de corrupção
carlos-alberto-da-costa-silva	Escândalos de corrupção
carlos-alberto-grana	Escândalos de corrupção
carlos-alberto-lereia	Escândalos de corrupção
carlos-alberto-quaglia	Escândalos de corrupção
carlos-antonio-valente-de-castro	Escândalos de corrupção
carlos-augusto-siqueira	Escândalos de corrupção
carlos-bezerra	Escândalos de corrupção
carlos-lupi	Escândalos de corrupção
carlos-monforte	Escândalos de corrupção
casem-mazloum	Escândalos de corrupção
celcita-pinheiro	Escândalos de corrupção
celso-pitta	Escândalos de corrupção
cesar-herman-rodriguez	Escândalos de corrupção
chicao-brigido	Escândalos de corrupção
christiane-araujo-de-oliveira	Escândalos de corrupção
claudio-abreu	Escândalos de corrupção
claudio-gontijo	Escândalos de corrupção
claudio-vieira	Escândalos de corrupção
cleuber-carneiro	Escândalos de corrupção
colbert-martins	Escândalos de corrupção
coriolano-sales	Escândalos de corrupção
cristiano-paz	Escândalos de corrupção
daniel-dantas	Escândalos de corrupção
deborah-guerner	Escândalos de corrupção
delubio-soares	Escândalos de corrupção
demostenes-torres	Escândalos de corrupção
dilma-rousseff	Escândalos de corrupção
dimas-toledo	Escândalos de corrupção
dionisio-severo	Escândalos de corrupção
dirceu-bertin	Escândalos de corrupção
divaldo-suruagy	Escândalos de corrupção
domingos-lamoglia	Escândalos de corrupção
duda-mendonca	Escândalos de corrupção
durval-barbosa	Escândalos de corrupção
eduardo-campos	Escândalos de corrupção
eduardo-cunha	Escândalos de corrupção
eduardo-gomes	Escândalos de corrupção
eduardo-jorge-caldas-pereira	Escândalos de corrupção
eduardo-medeiros-de-morais	Escândalos de corrupção
efraim-morais	Escândalos de corrupção
elcione-barbalho	Escândalos de corrupção
elcyd-oliveira-brito	Escândalos de corrupção
elza-pereira	Escândalos de corrupção
emerson-kapaz	Escândalos de corrupção
emerson-palmieri	Escândalos de corrupção
enivaldo-quadrado	Escândalos de corrupção
enivaldo-ribeiro	Escândalos de corrupção
enrico-picciotto	Escândalos de corrupção
epitacio-cafeteira	Escândalos de corrupção
erenice-guerra	Escândalos de corrupção
eurides-brito	Escândalos de corrupção
expedito-veloso	Escândalos de corrupção
ezequiel-nascimento	Escândalos de corrupção
fabio-baracat	Escândalos de corrupção
